,index,brand,model,price,rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,os,year_of_warranty,cluster
248,259,acer,Acer Extensa 15 EX215-33 Laptop (Intel Core i3 N305/ 8GB/ 256GB SSD/ Win11 Home),335.7,49,intel,core i3,8,8,8,SSD,256,intel,integrated,0,15.6,1920,1080,windows,1,137
249,260,msi,MSI Sword 15 A12VF-401IN Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),1271.18,79,intel,core i7,10,16,16,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,2,21
250,261,hp,HP ProBook 445 G8 Business Laptop (AMD Ryzen 7 5800U/ 8GB/ 512GB SSD/ Win11),563.57,68,amd,ryzen 7,8,16,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,57
251,262,acer,Acer Aspire 5 UN.K3JSI.004 Laptop (12th Gen Core i5/ 12GB/ 512GB SSD/ Win11 Home),563.57,67,intel,core i5,10,12,12,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,33
252,263,asus,Asus Vivobook 15 OLED 2023 M1505YA-LK541WS Laptop (Ryzen 5 7530U/ 16GB/ 512GB SSD/ Win11 Home),647.52,65,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,37
253,264,asus,Asus Vivobook Go 15 2023 E1504FA-NJ543WS Laptop (Ryzen 5 7520U / 16GB/ 512GB SSD/ Win11 Home),582.63,60,amd,ryzen 5,4,8,16,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,147
254,265,asus,Asus Vivobook 16 2023 M1605YA-MB741WS Laptop (Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11 Home),851.41,65,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,0,16.0,1920,1200,windows,1,37
255,266,samsung,Samsung Galaxy Book 3 NP750XFG-KB1IN Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),839.42,56,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,15
256,267,samsung,Samsung Galaxy Book 3 NP750XFG-KA3IN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),911.38,60,intel,core i7,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,107
257,268,infinix,Infinix INBook Y1 Plus Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win 11 Home),299.71,52,intel,core i3,2,4,8,SSD,256,intel,integrated,0,15.6,1920,1080,windows,1,74
258,269,hp,HP Victus 15-fb0107AX Gaming Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),851.41,69,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,32
259,270,asus,Asus VivoBook 15 X1500EA-EJ3379WS Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),370.48,50,intel,core i3,2,4,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,74
260,271,hp,HP Victus 15-fb0777AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),623.54,67,amd,ryzen 5,6,12,8,SSD,512,amd,dedicated,0,15.6,1920,1080,windows,1,28
261,272,hp,HP Victus 16-d0311TX Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),695.5,73,intel,core i5,6,12,16,SSD,512,nvidia,dedicated,0,16.1,1920,1080,windows,1,38
262,273,hp,HP 15s-fr4000TU Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),581.08,62,intel,core i5,4,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,95
263,274,hp,HP Envy x360 13-bf0121TU  Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),959.35,71,intel,core i5,10,12,16,SSD,512,intel,integrated,1,13.4,1920,1200,windows,1,9
264,275,hp,HP Pavilion 14-dv2014TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win 11),767.46,64,intel,core i5,10,12,16,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,9
265,276,hp,HP 255 G8 6X4B2PA Laptop (AMD Athlon 3050/ 4GB/ 256GB SSD/ DOS),231.46,39,amd,other,2,2,4,SSD,256,amd,integrated,0,15.6,1920,1080,dos,1,126
266,277,dell,Dell Inspiron 5420 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),839.53,62,intel,core i5,12,16,16,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,94
267,278,asus,Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),750.79,73,intel,core i5,12,16,16,SSD,512,intel,integrated,1,14.0,1920,1080,windows,1,9
268,279,lenovo,Lenovo Legion 5 82JU00SYIN Laptop (AMD Ryzen 7 5800H/ 16GB/ 1TB SSD/ Win11 Home/ 6GB Graph),1199.22,78,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,16.0,2560,1600,windows,1,17
269,280,msi,MSI Creator M16 A12UD-633IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),1007.32,78,intel,core i7,14,20,16,SSD,512,nvidia,dedicated,0,16.0,2560,1660,windows,2,59
270,281,hp,HP Victus 15-fb0050AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),718.06,71,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,11
271,282,hp,HP Pavilion 15s-fq5112TU Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),683.61,54,intel,core i5,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,84
272,283,asus,Asus ROG Zephyrus G15 2022 GA503RW-LN067WS Gaming Laptop (AMD Ryzen 9 6900HS/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),1738.92,85,amd,ryzen 9,8,16,16,SSD,1024,nvidia,dedicated,0,15.6,2560,1440,windows,1,17
273,284,hp,HP 15s-fq2673TU Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),487.04,58,intel,core i3,2,4,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,73
274,285,lenovo,Lenovo IdeaPad Gaming 3 82K201ULIN Laptop (Ryzen 5 5600H/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),779.45,74,amd,ryzen 5,6,12,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,114
275,286,apple,Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ MacOS),1595.0,45,apple,m2,8,8,8,SSD,512,apple,apple,0,13.6,2560,1664,mac,1,113
276,287,apple,Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ macOS),1642.97,45,apple,m2,8,8,8,SSD,512,apple,apple,0,13.3,2560,1600,mac,1,113
277,288,samsung,Samsung Galaxy Book2 15 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),659.52,59,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,15
278,289,lenovo,Lenovo IdeaPad D330 82H0001YIN Laptop (Celeron N4020/ 4GB/ 128GB eMMC/ Win10),299.71,49,intel,celeron,4,2,4,HDD,128,intel,integrated,1,10.1,1200,800,windows,1,105
279,290,hp,HP Pavilion 15-eg2009TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),767.46,62,intel,core i5,12,16,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,135
280,291,hp,HP 247 G8 67U77PA Laptop (Athlon P-3045B HD/ 8GB/ 1TB HDD/ Win11),299.71,52,amd,other,2,2,8,HDD,1024,amd,integrated,0,14.0,1366,768,windows,1,45
281,292,samsung,Samsung Galaxy Book2 Pro 15 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),1403.11,68,intel,core i7,8,16,16,SSD,512,intel,integrated,0,15.6,1080,1920,windows,1,54
282,293,hp,HP 14s-fq1092au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),500.72,64,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,57
283,294,realme,Realme Book Slim Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win10),443.64,52,intel,core i3,2,4,8,SSD,256,intel,integrated,0,14.0,1440,2160,windows,1,8
284,295,dell,Dell Inspiron 3501 Laptop (11th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10),626.04,56,intel,core i5,4,8,8,HDD,1024,intel,integrated,0,15.6,1920,1080,windows,1,63
285,296,avita,Avita Pura NS14A6 Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win10),256.54,56,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,48
286,297,hp,HP EliteBook 840 G6 (8LX79PA) Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10),1084.97,56,intel,core i5,4,8,8,SSD,512,intel,integrated,0,14.0,1920,1080,windows,3,56
287,298,dell,Dell Inspiron 5370 Laptop (8th Gen Core i7/ 8GB/ 256GB SSD/ Win10/ 4GB Graph),1055.3,67,intel,core i7,4,8,8,SSD,256,nvidia,dedicated,0,13.3,1920,1080,windows,1,138
288,300,chuwi,Chuwi Gemibook X Pro Laptop (Intel Celeron N100/ 8 GB/ 256 GB SSD/ Win11 Home),263.73,50,intel,other,4,4,8,SSD,256,intel,integrated,0,14.1,1920,1080,windows,1,89
289,301,chuwi,Chuwi CoreBook X Laptop (10th Gen Core i5/ 16GB/ 512GB SSD/ Win11),419.65,54,intel,core i5,4,8,16,SSD,512,intel,integrated,0,14.0,2160,1440,windows,1,109
290,302,avita,Avita Liber Liber E AM14A2INL54F Laptop (AMD Ryzen 5 5500U/ 8GB/ 256GB SSD/ Win11 Home),395.17,50,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,48
291,303,lenovo,Lenovo ThinkPad X1 Fold Gen 1 Laptop (Intel Core i5/ 8GB/ 1TB SSD/ Win10 Pro),1799.01,64,intel,core i5,5,5,8,SSD,1024,intel,integrated,1,13.3,2048,1536,windows,1,22
292,304,dell,Dell G16 7630 Gaming Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),2500.5,80,intel,core i9,24,32,16,SSD,1024,nvidia,dedicated,0,16.0,2560,1600,windows,1,78
293,305,hp,HP Envy x360 15-fh0014AU Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),953.08,64,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,1,15.6,1920,1080,windows,1,64
294,306,lenovo,Lenovo IdeaPad Slim 3 83ER008DIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),683.5,57,intel,core i5,8,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,107
295,307,lenovo,Lenovo Ideapad Flex 5 14IAU7 82R700KHIN Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),659.52,58,intel,core i3,6,8,8,SSD,512,intel,integrated,1,14.0,1920,1200,windows,1,0
296,308,hp,HP 250 G9 95X38PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ DOS),689.62,51,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,dos,1,75
297,309,hp,HP 240 G9 8J0S5PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ DOS),654.83,58,intel,core i5,10,12,8,SSD,512,intel,integrated,0,14.0,1366,768,dos,1,112
298,310,lenovo,Lenovo ThinkBook 14 21DH00C1IH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),755.57,62,intel,core i5,10,12,8,SSD,512,intel,integrated,0,14.0,1920,1080,dos,1,90
299,311,lenovo,Lenovo IdeaPad Slim 1 82R400BGIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),437.64,50,amd,ryzen 5,6,12,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
300,312,lenovo,Lenovo V14 82KAA0AMIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ DOS),551.58,58,intel,core i5,4,8,8,SSD,512,intel,integrated,0,14.0,1366,768,dos,1,71
301,313,lenovo,Lenovo V14 82KAA01QIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win10 Home),563.57,62,intel,core i5,4,8,8,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,0
302,314,msi,MSI Thin GF63 11UC-1494IN Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),795.76,69,intel,core i7,8,16,16,HDD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,21
303,315,lenovo,Lenovo IdeaPad Slim 3i 82RK011EIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),755.46,66,intel,core i7,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,107
304,316,dell,"Dell Inspiron 3535 Laptop (AMD Ryzen R3-7320U,/ 8GB/ 512GB SSD/ Win11)",440.53,53,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,102
305,317,hp,HP 15s-EQ2084AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),622.47,62,amd,ryzen 7,8,16,16,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,121
306,318,dell,Dell Inspiron 7430 14 2 in 1 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),718.28,58,intel,core i3,6,8,8,SSD,512,intel,integrated,1,14.0,1920,1200,windows,1,65
307,319,lenovo,Lenovo Ideapad Slim 5 82XD006GIN Laptop (13th Gen Core i5/ 16 GB RAM/ 1TB SSD/ Win 11),887.39,57,intel,core i5,8,12,16,SSD,1024,intel,integrated,0,14.0,1920,1200,windows,1,5
308,320,lenovo,Lenovo IdeaPad Slim 5 14IAH8 83BF0043IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),743.47,60,intel,core i5,8,12,16,SSD,1024,intel,integrated,0,14.0,1920,1200,windows,1,5
309,321,hp,HP 250 G9 95X40PA Laptop (12th Gen Core i7/ 8GB/ 512 GB SSD/ DOS),807.01,52,intel,core i7,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,dos,1,75
310,322,dell,Dell Inspiron 3520 IN3520RVTGV001ORB1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11),419.65,49,intel,core i3,2,4,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,91
311,323,lenovo,Lenovo Thinkpad E14 G4 21E3S00P00 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),898.3,63,intel,core i5,10,12,8,SSD,512,intel,integrated,0,14.0,1920,1080,dos,1,90
312,324,dell,Dell Latitude 7440 14 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),1823.0,59,intel,core i5,10,12,16,SSD,512,intel,integrated,1,14.0,1920,1200,windows,1,94
313,325,lenovo,Lenovo IdeaPad Slim 3 82H803U0IN Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11),383.67,51,intel,core i3,2,4,8,SSD,256,intel,integrated,0,15.6,1920,1080,windows,1,66
314,326,acer,Acer Aspire 3 15 A315-510P UN.KDHSI.019 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),359.68,47,intel,core i3,8,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,137
315,327,acer,Acer Aspire Lite 15 AL15-51 2023  Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win11),557.69,64,intel,core i5,4,8,16,SSD,1024,intel,integrated,0,15.6,1920,1080,windows,1,44
316,328,lenovo,Lenovo ThinkPad X1 Carbon 21HMS00000 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Pro),2626.43,64,intel,core i7,10,12,16,SSD,1024,intel,integrated,0,14.0,1920,1200,windows,1,22
317,329,avita,Avita Liber AM15A2INT56F Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),390.38,51,intel,core i3,6,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,49
318,330,acer,Acer TravelMate P2 TMP214-53 14 Business Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),599.55,64,intel,core i7,4,8,16,SSD,512,intel,integrated,0,14.0,1920,1080,windows,1,46
319,331,acer,Acer Aspire Lite AL15-52 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),539.69,64,intel,core i5,10,12,16,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,33
320,332,acer,Acer Aspire Lite AL15-52 2023 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),515.7,62,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,33
321,333,avita,Avita Pura S101 Laptop (Celeron N4020/ 8GB/256GB SSD/ Win11 Home),232.92,41,intel,celeron,2,2,8,SSD,256,intel,integrated,0,14.0,1920,1080,windows,1,124
322,334,apple,Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 1TB SSD/ macOS),2277.54,53,apple,m3,8,8,8,SSD,1024,apple,apple,0,14.2,3024,1964,mac,1,119
323,335,apple,Apple MacBook Pro 14 2023 Laptop (Apple M3 Pro/ 18GB/ 1TB SSD/ macOS),2877.21,58,apple,m3,12,12,8,SSD,1024,apple,apple,0,14.2,3024,1964,mac,1,119
324,336,lenovo,Lenovo Yoga Slim 7i Carbon 13IRP8 83AY003CIN Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),1477.47,67,intel,core i7,12,16,16,SSD,1024,intel,integrated,1,13.3,2560,1600,windows,1,61
325,337,asus,Asus Chromebook CX1500CKA-EJ0247 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),393.68,37,intel,celeron,2,2,8,HDD,128,intel,integrated,0,15.6,1920,1080,chrome,1,2
326,338,lenovo,Lenovo Ideapad Gaming 3 15ARH7 82SB00QJIN Laptop  (AMD Ryzen 5 7535HS / 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),827.42,66,amd,ryzen 5,6,12,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,50
327,339,acer,Acer Aspire 5 A515-57 NX.K3JSI.006 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),563.57,63,intel,core i5,10,12,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,33
328,340,lenovo,Lenovo LOQ 15APH8 82XT004KIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 512GB SSD/ Win11/ 8GB Graph),1294.22,75,amd,ryzen 7,8,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,114
329,341,lenovo,Lenovo IdeaPad Gaming 3 Gen 6 82K2028QIN Laptop (AMD Ryzen 5 5500H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),622.39,65,amd,ryzen 5,4,8,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,50
330,342,asus,Asus Chromebook CX1400FKA-EC0168 Laptop (Celeron N4500/ 8GB/ 128GB eMMC/ Chrome OS),362.19,44,intel,celeron,2,2,8,HDD,128,intel,integrated,1,14.0,1920,1080,chrome,1,2
331,343,avita,Avita Pura S102 Laptop (Celeron N4020/ 8GB/ 512GB SSD/ Win11 Home),251.85,43,intel,celeron,2,2,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,66
332,344,apple,Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 512GB SSD/ macOS),2037.68,51,apple,m3,8,8,8,SSD,512,apple,apple,0,14.2,3024,1964,mac,1,88
333,345,hp,HP Spectre x360 14-ef2036TU Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),1862.56,70,intel,core i7,10,12,16,SSD,512,intel,integrated,1,13.5,3000,2000,windows,1,13
334,346,hp,HP Omen 16-xd0005AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),1342.58,78,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,16.1,1920,1080,windows,1,72
335,347,hp,HP ProBook 440 G9 821M3PA Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11),918.68,69,intel,core i5,10,12,16,SSD,512,intel,integrated,0,14.0,1366,768,windows,1,112
336,348,hp,HP 15s-FR5012TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),491.61,57,intel,core i3,6,8,8,SSD,512,intel,integrated,0,15.6,1920,1080,windows,1,95
337,349,acer,Acer Aspire Lite AL15-51 15 2023 Laptop (11th Gen Core i5/ 8GB/ 1TB SSD/ Win11),557.57,63,intel,core i5,4,8,8,SSD,1024,intel,integrated,0,15.6,1920,1080,windows,1,44
338,350,lenovo,Lenovo S14 Gen 3 82TW000VIH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),563.57,57,intel,core i5,10,12,8,SSD,512,intel,integrated,0,14.0,1920,1080,dos,3,90
339,351,hp,HP Victus 15-fa1134TX Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),1192.98,77,intel,core i7,10,16,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,38
340,352,lenovo,Lenovo Legion Pro 7 82WQ007UIN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 16GB Graph),4306.77,86,intel,core i9,24,32,32,SSD,1024,nvidia,dedicated,0,16.0,2560,1600,windows,1,29
341,353,microsoft,Microsoft Surface Laptop Go 3 XK1-00045 (12th Gen Core i5/ 8GB RAM/ 256 GB SSD/ Win 11),959.35,58,intel,core i5,10,12,8,SSD,256,intel,integrated,1,12.4,1536,1024,windows,1,77
342,354,acer,Acer Aspire 5 A514-56M NX.KH6SI.001 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),683.5,56,intel,core i5,10,12,16,SSD,512,intel,integrated,0,14.0,1920,1200,windows,1,53
343,355,acer,Acer Aspire Lite AL15-41 Laptop (AMD Ryzen 5 5500U/ 16GB/ 1TB SSD/ Win11),477.34,62,amd,ryzen 5,6,12,16,SSD,1024,amd,integrated,0,15.6,1920,1080,windows,1,116
344,356,dell,Dell Inspiron 7430 IC7430MH5K0M01ORS1 Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ Win11),1067.29,64,intel,core i5,10,12,8,SSD,512,intel,integrated,1,14.0,1920,1200,windows,1,65
345,357,lenovo,Lenovo IdeaPad Gaming 3 82K101LJIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),661.92,70,intel,core i5,4,8,16,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,70
346,358,hp,HP Omen 16-XD0007ax Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),1355.13,76,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,16.1,1920,1080,windows,1,72
347,359,asus,Asus Vivobook Pro 15 OLED M6500QC-LK751WS Laptop (Ryzen 7 5800HS/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),1037.43,67,amd,ryzen 7,8,16,16,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,96
348,360,msi,MSI Vector GP68 HX 13VG-214IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),2398.56,80,intel,core i7,16,24,16,SSD,1024,nvidia,dedicated,0,16.0,2560,1600,windows,1,27
349,361,dell,Dell G15-5530 15 2023 Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),1265.18,75,intel,core i7,14,20,16,SSD,1024,nvidia,dedicated,0,15.6,1920,1080,windows,1,20
350,362,lenovo,Lenovo IdeaPad Flex 5 82R9008FIN Laptop (AMD Ryzen 5 5500U/ 16GB/ 512GB SSD/ Win11 Home),743.47,69,amd,ryzen 5,6,12,16,SSD,512,amd,integrated,1,14.0,1920,1200,windows,1,62
351,363,asus,Asus Vivobook Go 14 E1404FA-NK547WS Laptop (Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11),570.29,58,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,0,14.0,1920,1080,windows,1,48
352,364,asus,Asus Vivobook 15X OLED M3504YA-LK552WS Laptop (AMD Ryzen 5 7530U/ 16GB/ 1TB SSD/ Win11 Home),779.45,65,amd,ryzen 5,6,12,16,SSD,1024,intel,integrated,0,15.6,1920,1080,windows,1,116
353,365,lenovo,Lenovo Thinkpad L14 Gen 2 20X1S10V00 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ DOS),593.66,54,intel,core i3,2,4,8,SSD,512,intel,integrated,0,14.0,1920,1080,dos,3,67
354,366,lenovo,Lenovo V15 G4 Laptop (AMD Ryzen 5 7520U/ 8GB/ 512GB SSD/ Win11 Home),443.64,53,amd,ryzen 5,4,8,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
355,367,hp,HP Omen 16-k0789TX Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),1091.39,72,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,16.1,1920,1080,windows,1,38
356,368,lenovo,Lenovo IdeaPad 3 15IAU7 82RK00WXIN Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),414.85,57,intel,core i3,6,8,8,SSD,256,intel,integrated,0,15.6,1920,1080,windows,1,82
357,369,lenovo,Lenovo IdeaPad 1 15AMN7 82VG00ERIN Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ Win11 Home),389.67,56,amd,ryzen 3,4,8,8,SSD,512,amd,integrated,0,15.6,1920,1080,windows,1,14
358,370,asus,Asus Vivobook 16X K3605VU-MB541WS Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),1188.68,69,intel,core i5,12,16,16,SSD,512,nvidia,dedicated,0,16.0,1920,1200,windows,1,3
359,371,lenovo,Lenovo IdeaPad Gaming 3 15IHU6 82K101R9IN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),668.03,69,intel,core i5,4,8,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,148
360,372,hp,HP 250 G9 7M657PA Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),430.56,60,intel,core i3,6,8,8,SSD,512,intel,integrated,0,15.6,1366,768,windows,1,41
361,373,lenovo,Lenovo IdeaPad Gaming 3 82SB00V5IN Laptop (AMD Ryzen 7 6800H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),841.82,67,amd,ryzen 7,8,16,8,SSD,512,nvidia,dedicated,0,15.6,1920,1080,windows,1,50
362,374,lenovo,Lenovo Yoga 7 82YL0095IN Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),1105.67,75,intel,core i5,12,16,16,SSD,1024,intel,integrated,1,14.0,2880,1800,windows,1,61
